ip_address,timestamp,request_method,url,status_code,response_size
192.168.1.1,2023-07-01 10:00:00,GET,/index.html,200,1024
192.168.1.2,2023-07-01 10:01:30,POST,/login,302,512
192.168.1.1,2023-07-01 10:02:15,GET,/about.html,200,2048
192.168.1.3,2023-07-01 10:03:45,GET,/products,200,4096
192.168.1.2,2023-07-01 10:05:00,GET,/cart,200,1536
192.168.1.1,2023-07-01 10:06:30,POST,/checkout,200,2560
192.168.1.4,2023-07-01 10:08:00,GET,/contact.html,404,1024
192.168.1.1,2023-07-01 10:09:15,GET,/thank-you.html,200,1024
192.168.1.3,2023-07-01 10:10:30,POST,/feedback,200,512
192.168.1.1,2023-07-01 10:12:00,GET,/logout,302,256
