Date,Set,Numbers,Bonus
2024-06-26,1,"[6, 8, 12, 15, 24, 27]",30
2024-06-26,2,"[10, 13, 26, 28, 29, 40]",7
2024-06-26,3,"[14, 22, 30, 34, 35, 38]",1
2024-06-26,4,"[12, 19, 32, 36, 40, 44]",39
2024-06-26,5,"[2, 5, 10, 29, 37, 38]",39
2024-06-26,1,"[4, 8, 26, 32, 39, 40]",23
2024-06-26,2,"[13, 15, 27, 31, 40, 42]",36
2024-06-26,3,"[6, 7, 12, 15, 20, 23]",43
2024-06-26,4,"[4, 11, 32, 34, 38, 42]",5
2024-06-26,5,"[7, 10, 15, 20, 23, 43]",5
2024-06-26,1,"[2, 4, 5, 29, 42, 43]",6
2024-06-26,2,"[11, 16, 18, 22, 29, 38]",44
2024-06-26,3,"[1, 3, 19, 23, 25, 42]",4
2024-06-26,4,"[2, 7, 12, 23, 32, 43]",4
2024-06-26,5,"[2, 9, 10, 20, 36, 42]",16
